name1 height weight
A01 -1.56524758424985 -1.40226866642617
A02 -1.34164078649987 -1.27322553761395
A03 -1.11803398874989 -1.07966084439561
A04 -0.894427190999916 -0.886096151177275
A05 -0.670820393249937 -0.692531457958938
A06 -0.447213595499958 -0.498966764740601
A07 -0.223606797749979 -0.305402071522264
A08 0 -0.111837378303927
A09 0.223606797749979 0.146248879320522
A10 0.447213595499958 0.339813572538859
A11 0.670820393249937 0.597899830163308
A12 0.894427190999916 0.855986087787758
A13 1.11803398874989 1.11407234541221
A14 1.34164078649987 1.43668016744277
A15 1.56524758424985 1.75928798947333
